Date,Open,High,Low,Close,Adj Close,Volume
01-04-2004,497,599.799988,496.5,544.5,477.057953,78847508
01-05-2004,542,558.700012,300,386.600006,338.715576,146558414
01-06-2004,393,419.850006,360.25,403.200012,353.259491,173946808
01-07-2004,405.25,440,360,424.5,371.921295,123980540
01-08-2004,426.100006,431.799988,354.649994,381.75,335.663086,115332965
01-09-2004,383,401.399994,348.049988,354.25,311.483063,162370148
01-10-2004,360.950012,381.950012,338,375.75,330.387482,74452539
01-11-2004,377,424.5,371,420.100006,369.383362,53279702
01-12-2004,425,478,402.600006,461.899994,406.136932,63235767
01-01-2005,465,480,389.149994,453.75,398.970947,48881370
01-02-2005,457,507.5,442.100006,473.100006,415.984863,48381187
01-03-2005,476,485.5,405,421.299988,370.438446,44337581
01-04-2005,426.899994,443.899994,396.299988,406.399994,357.337189,39821821
01-05-2005,409,468.700012,393,465.450012,409.258453,44930324
01-06-2005,466,484.399994,431.549988,464.649994,408.555054,26402689
01-07-2005,463,489,436.950012,482.700012,424.425903,19216286
01-08-2005,480,512.400024,455.899994,470.149994,413.390991,21211776
01-09-2005,475.5,598.450012,475,559.799988,494.332245,31108749
01-10-2005,566,600.700012,503.100006,549.200012,484.971924,26290064
01-11-2005,554,634.200012,499.799988,613.400024,541.66394,28424577
01-12-2005,615,686.950012,605.400024,635.799988,561.444214,24985814
01-01-2006,635.049988,770,631.549988,758.549988,669.838806,25388203
01-02-2006,757,834.25,724,822.599976,726.398254,31651357
01-03-2006,827.900024,942.700012,736,874.299988,772.052063,58870206
01-04-2006,880,942,810.5,927.599976,819.118774,30623613
01-05-2006,919.950012,974.950012,655,735,649.042969,21035072
01-06-2006,739.400024,819.400024,668.099976,796.700012,703.527283,34675722
01-07-2006,802,831.200012,691,787.849976,695.712402,24081840
01-08-2006,785,869,759.900024,861.349976,760.616516,20031630
01-09-2006,860.049988,987.799988,811,981.299988,870.178833,24714211
01-10-2006,981.299988,990.700012,911.25,968,858.384949,13176649
01-11-2006,968,988.900024,865.099976,926.150024,821.273987,16964195
01-12-2006,930.400024,973.75,860,929.200012,823.978699,10961958
01-01-2007,929.200012,984.900024,872.200012,924.900024,820.16571,15879685
01-02-2007,939.900024,972.849976,825.5,841.700012,746.387146,11894535
01-03-2007,848,870.400024,755.049988,820.200012,727.321716,21927986
01-04-2007,795,840,741,806.099976,714.818237,16227197
01-05-2007,806.099976,848.700012,751.25,817.099976,724.572754,8527641
01-06-2007,820,876,715.049988,744.150024,659.883423,9764212
01-07-2007,745,860,745,844.549988,748.914307,14568567
01-08-2007,806.099976,872.900024,715,867.700012,769.442749,14465035
01-09-2007,876.700012,1028,803.549988,998.75,890.87616,19281902
01-10-2007,1008.799988,1248,960.25,1073.849976,957.864685,27059169
01-11-2007,1100,1100,931,1014.150024,904.612854,11245559
01-12-2007,1030,1098,973.450012,994.5,887.085388,8902934
01-01-2008,1000,1055,700,850.200012,758.370911,14142637
01-02-2008,833.150024,923.900024,750.099976,868.200012,774.426758,11568778
01-03-2008,859.700012,944.5,790,827,737.676697,16071531
01-04-2008,840,855,720,742.099976,661.946655,13073836
01-05-2008,742.099976,835,742.099976,763.049988,680.633911,14919635
01-06-2008,765.5,802,610,616.549988,549.957153,11923036
01-07-2008,616.549988,660,520.5,575.650024,513.474609,18467245
01-08-2008,564.900024,725.700012,553,649.599976,579.437561,22116025
01-09-2008,649.599976,766,618.5,690.200012,620.285156,18601069
01-10-2008,695.349976,749,475,563.200012,506.149872,18232901
01-11-2008,565.5,639,480.149994,533.549988,479.503265,14156416
01-12-2008,540.5,568.900024,433,520.200012,467.505554,29635658
01-01-2009,521,604,502.299988,568.299988,510.733093,24174774
01-02-2009,561,709.400024,555,677.299988,608.691956,23691536
01-03-2009,698.700012,799,640.400024,779.849976,700.853943,30463492
01-04-2009,780,873.799988,741,814,731.544617,25326324
01-05-2009,814,1064,795,1027.099976,923.05835,23101355
01-06-2009,1025,1119,1005.150024,1068.949951,960.669006,14186074
01-07-2009,1078,1448.650024,991.5,1414.449951,1271.171143,17187386
